"ASV","s.No","s.Yes","index","stat","p.value","Domain.x","Phylum.x","Class.x","Order.x","Family.x","Genus.x","Species.x","Domain.y","Phylum.y","Class.y","Order.y","Family.y","Genus.y","Species.y"
"cbd66fa79a3e7fa1c33d29ed908de048",0,1,2,0.32719808793888,0.015,"d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Erysipelotrichales"," f__Erysipelatoclostridiaceae"," g__Catenibacterium",NA,"d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Erysipelotrichales"," f__Erysipelatoclostridiaceae"," g__Catenibacterium",NA
"bfab02a86c5187ed451db10d9b81b8d5",0,1,2,0.41989608049327,0.005,"d__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Lachnospirales"," f__Lachnospiraceae"," g__[Eubacterium]_ventriosum_group"," s__uncultured_bacterium","d__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Lachnospirales"," f__Lachnospiraceae"," g__[Eubacterium]_ventriosum_group"," s__uncultured_bacterium"
"3f9fcc47fb363e0fdfa75dc56bb107f5",0,1,2,0.302986091758125,0.03,"d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__Tannerellaceae"," g__Parabacteroides"," s__Parabacteroides_johnsonii","d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__Tannerellaceae"," g__Parabacteroides"," s__Parabacteroides_johnsonii"
