ASV;Species;;;
217185aee687740c4fa3cc0aa17ee4ff;C. mitsuokai;;;
7b6007c32462b943453574331e4397d2;C. mitsuokai;;;
e412bed9de73769773728aa223467f3d;P. johnsonii;;;
3d766867c97f511431bf97e059d6498f;P. johnsonii;;;
1748c7cd4b0449fa1777871cbc9c81fb;P. johnsonii;;;P. merdae
7b576677259a7e2b636f0a6e1c12f850;P. johnsonii;;;P. merdae
