74923f4bbde849e27fc4eda25d757e2a,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__[Clostridium]_innocuum_group,NA
cbf6a06153a111085311f6fc837b46a9,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Asteroleplasma,s__uncultured_bacterium
217185aee687740c4fa3cc0aa17ee4ff,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Catenibacterium,NA
7b6007c32462b943453574331e4397d2,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Catenibacterium,s__uncultured_bacterium
0189d0173c07f11e7586ff20eb33f5ba,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Dielma,NA
5c7e498059a130a9ba2bee131312f946,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelatoclostridium,s__uncultured_bacterium
8ce931b0c99ad5ed648c25483c1ca492,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelatoclostridium,NA
b835514e2678e3c7ba13bfe0a0d79bb4,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelatoclostridium,NA
0584be58049c7828c032b2171aa00a4b,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelatoclostridium,s__Massiliomicrobiota_timonensis
2a13ecb6c618ddf8154298c69336dd8e,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelatoclostridium,s__[Clostridium]_spiroforme
58f122c7b223e2540819d9ea83c593b5,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelatoclostridium,s__[Clostridium]_spiroforme
18ec94eafc6a9e0e4bbf1c35f88d512d,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelothrix,s__unidentified
d061a99148d649c4eca4836c5f4b5b68,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelotrichaceae_UCG-003,NA
8ed6a8c57da2d20d32e9a7ddce8cf52c,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelotrichaceae_UCG-003,NA
a1820fe9a6476e061eb508be2efd5e89,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelotrichaceae_UCG-006,s__uncultured_bacterium
14f2c83d70af36f8fa92a7f7196b4af2,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelotrichaceae_UCG-006,s__uncultured_bacterium
58df89090206b56c52bfffa4b97f4d5d,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Faecalitalea,NA
ddbee449ea64b2609257fb8bd0c52081,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Faecalitalea,s__uncultured_bacterium
b153e0852342c0738da791930625716f,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemanella,s__uncultured_bacterium
7c3a5ea9822bae13bf993bb6a039c50f,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemanella,NA
0f6200a5b77099113b52eea9a8645181,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemanella,NA
fc613984c6bd68a102eb7daee76a24a7,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemanella,s__uncultured_bacterium
e06b667b4aea20d024d458ffcfcca944,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemania,s__uncultured_bacterium
86deb5cf8d6f29d383136e0d09863b69,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemania,s__uncultured_bacterium
23c05ffd2b0ba1534717ee52a81b589e,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemania,s__Holdemania_massiliensis
c123ec846a7e3837d1247386a6060ad9,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Merdibacter,s__uncultured_bacterium
ff9c38c8e5450a3347e39a6c1539fcdb,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Solobacterium,s__uncultured_bacterium
fc1e726754afb0a2a9ec7808072d71cd,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Solobacterium,s__uncultured_bacterium
b234f379ab072ea7cb55ee5d97ca636d,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Solobacterium,s__uncultured_bacterium
