# Constructed from biom file
#OTU ID	CHE0002SZ	CHE0004BZ	CHE0005SZ	CHE0009BZ	CHE0010BZ	CHE0012SZ	CHE0013BZ	CHE0014TZ	CHE1003TZ	CHE1006Z	CHE1007SZ	CHE1008TZ	CHE1011TZ	CHE1020TZ	EUR0003	EUR0003.RT.1	EUR0003.RT.2	EUR0003.RT.3	EUR0005	EUR0005.RT	EUR0009	EUR0009.RT	EUR0011	EUR0011.RT	EUR1001	EUR1001.RT	EUR1002.1	EUR1002.2	EUR1002.3	EUR1002.RT	EUR1006	EUR1006.RT	EUR1007	EUR1007.RT	EUR1008	EUR1008.RT	EUR1010	EUR1010.RT	RAJ0016YZ	RAJ0018YZ	RAJ0019YZ	RAJ0022YZ	RAJ1011YZ	RAJ1012YZ	RAJ1014YZ	RAJ1015YZ	RAJ1020YZ	RAU0015YZ	RAU0016YZ	RAU0022YZ	RAU0028AZ	RAU1009YZ	RAU1011YZ	RAU1013YZ	RAU1014YZ	RAU1020YZ	RAU1026YZ	RAU1029Y	THA0055JZ	THA0058AZ	THA0061JZ	THA0062YZ	THA0065JZ	THA0068JZ	THA0078JZ	THA1056YZ	THA1057JZ	THA1060YZ	THA1063YZ	THA1064JZ	THA1066YZ	THA1067YZ.1	THA1070JZ	THA1071YZ	THA1072JZ	THA1074JZ	THA1075YZ	THA1076JZ
992072d045462445dc239b35300af2cc	1426.0	855.0	3302.0	1134.0	983.0	1296.0	1327.0	1507.0	1500.0	618.0	914.0	791.0	2912.0	3564.0	0.0	0.0	0.0	0.0	0.0	0.0	4177.0	4000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	275.0	1767.0	927.0	427.0	1557.0	1989.0	1594.0	2411.0	1315.0	3974.0	4051.0	791.0	2330.0	295.0	1637.0	1492.0	1617.0	887.0	4599.0	3234.0	5094.0	1603.0	1421.0	1920.0	2145.0	1294.0	1866.0	1064.0	941.0	2948.0	1735.0	6075.0	3201.0	1249.0	941.0	1933.0	5966.0	1712.0
23e5edb47f5a9a45adc62dc95d595ce6	718.0	740.0	0.0	1505.0	1242.0	1589.0	1945.0	796.0	922.0	796.0	988.0	2005.0	647.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	2052.0	374.0	2121.0	2558.0	894.0	584.0	567.0	701.0	808.0	4548.0	1128.0	1482.0	2795.0	578.0	1286.0	818.0	4100.0	666.0	0.0	6385.0	0.0	978.0	0.0	1118.0	4532.0	1146.0	1407.0	2031.0	1718.0	712.0	1557.0	957.0	590.0	3259.0	1190.0	649.0	2862.0	1035.0
c076fef5e5e52ade435c989a9bd40ffd	2724.0	2033.0	0.0	115.0	1791.0	659.0	1712.0	154.0	1348.0	902.0	4.0	1235.0	822.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1752.0	10.0	0.0	1093.0	2669.0	2146.0	0.0	1228.0	471.0	678.0	5281.0	653.0	0.0	1000.0	2094.0	1218.0	1841.0	0.0	138.0	1951.0	4876.0	2579.0	818.0	0.0	1240.0	0.0	2084.0	367.0	638.0	631.0	2883.0	2.0	1737.0	0.0	82.0	1952.0	394.0	0.0	1899.0
ac5402de1ddf427ab8d2b0a8a0a44f19	0.0	0.0	265.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	443.0	568.0	1177.0	1269.0	1348.0	1074.0	1910.0	145.0	232.0	1961.0	1495.0	3632.0	5772.0	714.0	1389.0	800.0	636.0	0.0	0.0	4901.0	3763.0	549.0	336.0	4960.0	4318.0	0.0	59.0	0.0	4.0	0.0	527.0	0.0	17.0	5.0	0.0	0.0	19.0	28.0	38.0	0.0	0.0	15.0	81.0	14.0	0.0	494.0	33.0	337.0	36.0	1737.0	22.0	335.0	0.0	20.0	0.0	0.0	8.0	22.0	11.0	96.0	0.0	26.0	352.0	597.0	14.0
ea2b0e4a93c24c6c3661cbe347f93b74	0.0	0.0	73.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	264.0	207.0	204.0	231.0	2340.0	2869.0	1160.0	820.0	197.0	99.0	823.0	317.0	1443.0	2757.0	1800.0	1302.0	5467.0	3243.0	683.0	749.0	585.0	335.0	3147.0	2152.0	18.0	49.0	0.0	0.0	0.0	0.0	38.0	16.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	21.0	0.0	11.0	53.0	7.0	0.0	0.0	56.0	10.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	45.0	65.0	0.0
764bb70efe70ec930379806d178319cb	0.0	193.0	3006.0	51.0	115.0	0.0	0.0	160.0	278.0	0.0	830.0	274.0	115.0	1681.0	0.0	0.0	0.0	0.0	0.0	0.0	2208.0	2277.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	802.0	0.0	117.0	305.0	0.0	852.0	455.0	109.0	1157.0	267.0	0.0	561.0	0.0	0.0	1819.0	90.0	0.0	2231.0	798.0	855.0	121.0	2045.0	441.0	630.0	0.0	145.0	0.0	48.0	152.0	0.0	1019.0	0.0	178.0	0.0	1116.0	2321.0	296.0
e9a86ba8663db9c218b5999062a64b1e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5038.0	8653.0	8074.0	5313.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c4f9ef34bd2919511069f409c25de6f1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1965.0	1718.0	1715.0	1868.0	1018.0	1740.0	1090.0	1608.0	258.0	175.0	0.0	0.0	1481.0	2954.0	1862.0	1255.0	2111.0	1929.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	458.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79280cea51a6fe8a3432b2f266dd34db	0.0	36.0	183.0	71.0	41.0	76.0	45.0	42.0	44.0	50.0	154.0	57.0	160.0	80.0	217.0	784.0	750.0	696.0	286.0	962.0	292.0	616.0	1093.0	515.0	794.0	1334.0	344.0	325.0	253.0	645.0	354.0	1675.0	317.0	1676.0	506.0	247.0	1096.0	1169.0	168.0	100.0	245.0	327.0	51.0	0.0	145.0	162.0	52.0	143.0	39.0	199.0	206.0	172.0	98.0	83.0	62.0	265.0	218.0	162.0	32.0	215.0	22.0	109.0	601.0	133.0	102.0	423.0	0.0	70.0	51.0	115.0	122.0	270.0	133.0	62.0	36.0	45.0	101.0	77.0
8937656c16c20701c107e715bad86732	0.0	125.0	0.0	72.0	126.0	0.0	334.0	497.0	122.0	44.0	815.0	214.0	123.0	391.0	301.0	175.0	144.0	161.0	566.0	1261.0	1189.0	3018.0	0.0	0.0	779.0	250.0	0.0	0.0	0.0	0.0	185.0	133.0	23.0	329.0	290.0	144.0	1491.0	1035.0	129.0	0.0	0.0	1178.0	113.0	0.0	0.0	0.0	31.0	379.0	155.0	480.0	326.0	76.0	413.0	128.0	70.0	150.0	230.0	0.0	109.0	89.0	141.0	315.0	0.0	330.0	275.0	184.0	0.0	255.0	286.0	312.0	575.0	1374.0	112.0	174.0	195.0	38.0	526.0	106.0
